input,region,output,value
NMM,USA,NMM,0.2666814534604025
MAC,USA,NMM,0.006908884543176673
ELE,USA,NMM,0.005170027628614861
VEH,USA,NMM,0.0014117044926378823
OTM,USA,NMM,0.0041940403460195485
SRV,USA,NMM,0.24933205926059274
AGF,USA,MAC,0.0003798597514254321
MIN,USA,MAC,0.0007111519724712068
ENR,USA,MAC,0.005242237932693163
CHM,USA,MAC,0.026655939766212274
TXL,USA,MAC,0.0005457889489174915
WDP,USA,MAC,0.004089059016765332
NMM,USA,MAC,0.164562865399654
MAC,USA,MAC,0.08542793222898029
ELE,USA,MAC,0.03447623409293784
VEH,USA,MAC,0.0055489116031337314
OTM,USA,MAC,0.004275825000009314
SRV,USA,MAC,0.2566438776377404
AGF,USA,ELE,0.00018892719108793598
MIN,USA,ELE,0.0003351009457807961
ENR,USA,ELE,0.002832885166430143
CHM,USA,ELE,0.019795993434370843
TXL,USA,ELE,0.00026657687418600785
WDP,USA,ELE,0.002315040417644145
NMM,USA,ELE,0.043271559869627135
MAC,USA,ELE,0.005457680927153569
ELE,USA,ELE,0.10680572862913164
VEH,USA,ELE,0.0017503800200493339
OTM,USA,ELE,0.002432177090836414
SRV,USA,ELE,0.15693648033620622
AGF,USA,VEH,0.0002844112798092175
MIN,USA,VEH,0.0004586061084235072
ENR,USA,VEH,0.007320379602653464
CHM,USA,VEH,0.04887300027201922
TXL,USA,VEH,0.0020564018520458933
WDP,USA,VEH,0.005075561132716961
NMM,USA,VEH,0.1115675897047678
MAC,USA,VEH,0.01933749883382166
ELE,USA,VEH,0.027874741814364987
VEH,USA,VEH,0.20031427189155124
OTM,USA,VEH,0.003940973921095082
SRV,USA,VEH,0.29137494096874517
AGF,USA,OTM,0.0021163280801033187
MIN,USA,OTM,0.0008896723594629976
ENR,USA,OTM,0.009020986384109407
CHM,USA,OTM,0.04544411557578826
TXL,USA,OTM,0.0065283495700476975
WDP,USA,OTM,0.05896293771401262
NMM,USA,OTM,0.055828555681498596
MAC,USA,OTM,0.00977861007239593
ELE,USA,OTM,0.013006136479789288
VEH,USA,OTM,0.004221087968875865
OTM,USA,OTM,0.021193352523834228
SRV,USA,OTM,0.215275586218702
AGF,USA,SRV,0.005827470297978023
