origin,sector,destination,value
JPN,WDP,IND,121.67064848652386
JPN,WDP,MEX,8.889230448175399
JPN,WDP,ROW,650.9832082334939
JPN,NMM,CHN,18299.34442343888
JPN,NMM,USA,7685.543492222825
JPN,NMM,JPN,426736.37299999996
JPN,NMM,KOR,10776.972450400232
JPN,NMM,EU27,1.0
JPN,NMM,VNM,3539.852443854615
JPN,NMM,THA,8963.562879933072
JPN,NMM,MYS,2337.322112315763
JPN,NMM,IDN,3708.728443649675
JPN,NMM,SGP,1612.377769723487
JPN,NMM,PHL,1783.881652916366
JPN,NMM,IND,3181.78658336395
JPN,NMM,MEX,2397.423672652297
JPN,NMM,ROW,20914.135075528833
JPN,MAC,CHN,24821.643219493144
JPN,MAC,USA,27628.229847374092
JPN,MAC,JPN,193160.154
JPN,MAC,KOR,8055.051158952775
JPN,MAC,EU27,1.0
JPN,MAC,VNM,1859.7011996590265
JPN,MAC,THA,4527.456538468391
JPN,MAC,MYS,1796.5612367030826
JPN,MAC,IDN,2650.235944465626
JPN,MAC,SGP,2346.6569513889367
JPN,MAC,PHL,1045.690782190246
JPN,MAC,IND,1968.1210454043903
JPN,MAC,MEX,1725.2268709572672
JPN,MAC,ROW,34173.908204943
JPN,ELE,CHN,31114.977219900567
JPN,ELE,USA,20202.60234016982
JPN,ELE,JPN,184485.702
JPN,ELE,KOR,9466.28727140519
JPN,ELE,EU27,1.0
JPN,ELE,VNM,4760.915479755116
JPN,ELE,THA,5600.038846867494
JPN,ELE,MYS,3895.58657912404
JPN,ELE,IDN,1368.1446338253702
JPN,ELE,SGP,3813.80933612407
JPN,ELE,PHL,2825.70064777127
JPN,ELE,IND,1790.490924821059
JPN,ELE,MEX,1546.3924727297153
JPN,ELE,ROW,42828.67924750629
JPN,VEH,CHN,14651.179292510435
JPN,VEH,USA,51209.201078916165
JPN,VEH,JPN,253861.52000000002
JPN,VEH,KOR,1020.053468022447
JPN,VEH,EU27,1.0
JPN,VEH,VNM,1066.7184580136534
JPN,VEH,THA,3783.8167080070516
JPN,VEH,MYS,2733.558228865021
JPN,VEH,IDN,3370.5104649827567
JPN,VEH,SGP,1935.9211662745834
JPN,VEH,PHL,1620.4603034242066
JPN,VEH,IND,908.296869673949
JPN,VEH,MEX,3421.6899052767744
JPN,VEH,ROW,85075.71605603295
JPN,OTM,CHN,1068.7667009817796
JPN,OTM,USA,1479.1018447248855
JPN,OTM,JPN,260729.69400000002
JPN,OTM,KOR,437.73625487705414
JPN,OTM,EU27,1.0
