input,region,output,value
CHM,EU27,VEH,0.04829987755849921
TXL,EU27,VEH,0.0041865187507251645
WDP,EU27,VEH,0.005080058912401484
NMM,EU27,VEH,0.1155323454702735
MAC,EU27,VEH,0.02432149253750821
ELE,EU27,VEH,0.04510478404806834
VEH,EU27,VEH,0.23928361470339143
OTM,EU27,VEH,0.00974497399301181
SRV,EU27,VEH,0.257507103770007
AGF,EU27,OTM,0.004217170572563106
MIN,EU27,OTM,0.0004175087064284118
ENR,EU27,OTM,0.010859365478504527
CHM,EU27,OTM,0.04763641659755777
TXL,EU27,OTM,0.009930392295369943
WDP,EU27,OTM,0.042794279088346765
NMM,EU27,OTM,0.07409400547551215
MAC,EU27,OTM,0.02971437970014287
ELE,EU27,OTM,0.03434734686324919
VEH,EU27,OTM,0.014046670460487588
OTM,EU27,OTM,0.061670137051067636
SRV,EU27,OTM,0.28504612713414956
AGF,EU27,SRV,0.008082235743384866
MIN,EU27,SRV,0.001334894854337924
ENR,EU27,SRV,0.021489959795041525
CHM,EU27,SRV,0.012384592798199355
TXL,EU27,SRV,0.0011539350606948173
WDP,EU27,SRV,0.007505530434427449
NMM,EU27,SRV,0.01692764990057669
MAC,EU27,SRV,0.00362591705980516
ELE,EU27,SRV,0.008578263316325524
VEH,EU27,SRV,0.004568375138406728
OTM,EU27,SRV,0.006407798143680056
SRV,EU27,SRV,0.38538279696809774
AGF,JPN,AGF,0.26881526147233453
MIN,JPN,AGF,0.00021620818348127478
ENR,JPN,AGF,0.012322196920473094
CHM,JPN,AGF,0.05285231696148827
TXL,JPN,AGF,0.002570118250418168
WDP,JPN,AGF,0.02529516919023345
NMM,JPN,AGF,0.018567918773161655
MAC,JPN,AGF,0.0002726704267214382
ELE,JPN,AGF,0.0005329313684643756
VEH,JPN,AGF,0.0010620159996777123
OTM,JPN,AGF,0.012380658816772187
SRV,JPN,AGF,0.23661560063910067
AGF,JPN,MIN,0.0029741286747504455
MIN,JPN,MIN,0.01331245319058817
ENR,JPN,MIN,0.07322395268043319
CHM,JPN,MIN,0.05078755196115345
TXL,JPN,MIN,0.001657223089627351
WDP,JPN,MIN,0.0025875157001475973
NMM,JPN,MIN,0.01437342527527002
MAC,JPN,MIN,0.009960362973107548
ELE,JPN,MIN,0.004423003836542464
VEH,JPN,MIN,0.0005332657337374046
OTM,JPN,MIN,0.05775008181939616
SRV,JPN,MIN,0.3514450195548721
AGF,JPN,ENR,0.00048280888647021314
MIN,JPN,ENR,0.08209174406701476
ENR,JPN,ENR,0.607903862356141
CHM,JPN,ENR,0.01941885808466766
TXL,JPN,ENR,0.0001614680843239414
WDP,JPN,ENR,0.00044332895001782054
NMM,JPN,ENR,0.0025114292252515435
MAC,JPN,ENR,0.0002415117813256576
ELE,JPN,ENR,0.00035055985936057794
VEH,JPN,ENR,5.659751016172482e-05
OTM,JPN,ENR,0.003548083795136976
SRV,JPN,ENR,0.14510735674057357
AGF,JPN,CHM,0.006029351701211664
MIN,JPN,CHM,0.007609696208790272
ENR,JPN,CHM,0.06881978208011107
CHM,JPN,CHM,0.299285031908911
TXL,JPN,CHM,0.001852338315176565
WDP,JPN,CHM,0.007538931213529107
NMM,JPN,CHM,0.01587202443154915
MAC,JPN,CHM,0.0022264645244577334
ELE,JPN,CHM,0.002048499748749466
VEH,JPN,CHM,0.00031900792204759724
OTM,JPN,CHM,0.012131038245119548
SRV,JPN,CHM,0.2659074166997496
AGF,JPN,TXL,0.011356648139372408
MIN,JPN,TXL,0.002901277570385268
ENR,JPN,TXL,0.014676110765354345
